Date,Site,co2 trial 1,co2 trial 2,co2 trial 3,co2_mean,sd_co2
2022-06-20,Site_1,3.23E-04,5.18E-04,5.63E-04,4.68E-04,1.28E-04
2022-06-20,Site_2,-5.86E-04,-5.89E-04,-5.85E-04,-5.87E-04,2.08E-06
2022-06-20,Site_3,0.00104433,5.26E-04,6.71E-04,7.47E-04,2.67E-04
2022-06-20,Site_4,-4.16E-04,-3.66E-04,-1.78E-04,-3.20E-04,1.25E-04
2022-06-20,Site_5,1.51E-04,3.90E-04,2.23E-04,2.54E-04,1.23E-04
2022-06-20,Site_6,-0.001063656,-7.30E-04,-6.02E-04,-7.98E-04,2.38E-04
2022-06-20,Site_7,-3.86E-04,-7.39E-04,-8.70E-04,-6.65E-04,2.50E-04
2022-06-20,Site_8,-6.43E-04,-9.10E-04,-6.85E-04,-7.46E-04,1.44E-04
2022-06-28,Site_1,-0.001511822,-8.55E-04,-0.001033286,-0.001133483,3.40E-04
2022-06-28,Site_2,-0.001745154,-0.001745154,-0.001745154,-0.001745154,0
2022-06-28,Site_3,-0.001110468,-8.03E-04,-0.001478994,-0.001130718,3.38E-04
2022-06-28,Site_4,-0.001560735,-0.001516983,-7.19E-04,-0.001265547,4.74E-04
2022-06-28,Site_5,-0.00186975,-0.001225631,-0.001467045,-0.001520809,3.25E-04
2022-06-28,Site_6,-0.002126303,-0.002445897,-0.002347137,-0.002306445,1.64E-04
2022-06-28,Site_7,-0.003209039,-0.002182225,-0.002220808,-0.002537357,5.82E-04
2022-06-28,Site_8,-0.002396288,-0.002024717,-0.001851765,-0.002090924,2.78E-04
2022-07-07,Site_1,-5.69E-04,-0.001224685,-3.91E-04,-7.28E-04,4.39E-04
2022-07-07,Site_2,-0.001304395,-0.001157486,-9.86E-04,-0.001149163,1.59E-04
2022-07-07,Site_3,-7.21E-04,-9.60E-04,-0.001042274,-9.08E-04,1.67E-04
2022-07-07,Site_4,-3.53E-04,-7.51E-04,-7.35E-04,-6.13E-04,2.25E-04
2022-07-07,Site_5,-7.65E-04,-8.67E-04,-5.55E-04,-7.29E-04,1.59E-04
2022-07-07,Site_6,-0.002296462,-0.0027818,-0.002547494,-0.002541918,2.43E-04
2022-07-07,Site_7,-0.001694617,-0.00180441,-0.001928802,-0.001809276,1.17E-04
2022-07-07,Site_8,-9.63E-04,-0.001940528,-0.001668772,-0.001523939,5.05E-04
2022-07-13,Site_1,-0.001085687,-6.01E-04,-9.12E-04,-8.66E-04,2.46E-04
2022-07-13,Site_2,-6.13E-04,-3.63E-04,-0.001105234,-6.94E-04,3.78E-04
2022-07-13,Site_3,6.16E-04,3.34E-04,6.63E-04,5.38E-04,1.78E-04
2022-07-13,Site_4,-3.25E-04,-7.26E-04,-4.50E-04,-5.00E-04,2.05E-04
2022-07-13,Site_5,-0.00126604,-8.57E-04,-0.001337289,-0.001153329,2.59E-04
2022-07-13,Site_6,-0.002493128,-0.003083786,-0.00257463,-0.002717181,3.20E-04
2022-07-13,Site_7,-0.002347214,-0.002006198,-0.001875799,-0.002076404,2.43E-04
2022-07-13,Site_8,-9.54E-04,-0.001268771,-0.001662063,-0.00129511,3.55E-04
2022-07-21,Site_1,-0.001273854,-0.00130471,-0.001292884,-0.001290483,1.56E-05
2022-07-21,Site_2,-0.002482876,-0.00117385,-0.001456917,-0.001704548,6.89E-04
2022-07-21,Site_3,3.45E-04,8.37E-04,7.39E-04,6.40E-04,2.60E-04
2022-07-21,Site_4,-0.001300642,-0.001922254,-0.001625734,-0.00161621,3.11E-04
2022-07-21,Site_5,-0.002603799,-0.001635946,-0.001029992,-0.001756579,7.94E-04
2022-07-21,Site_6,-0.002009998,-0.002327152,-0.001923062,-0.002086737,2.13E-04
2022-07-21,Site_7,-0.001120724,-0.001503387,-0.001857856,-0.001493989,3.69E-04
2022-07-21,Site_8,-0.001427002,-0.001341203,-9.29E-04,-0.001232535,2.66E-04
2022-07-28,Site_1,-0.001062319,-7.11E-04,-8.15E-04,-8.63E-04,1.80E-04
2022-07-28,Site_2,-0.001332258,-9.15E-04,-0.001792127,-0.001346448,4.39E-04
2022-07-28,Site_3,1.94E-04,1.75E-04,1.37E-04,1.69E-04,2.90E-05
2022-07-28,Site_4,-0.001971689,-0.002046694,-0.001766107,-0.001928163,1.45E-04
2022-07-28,Site_5,-8.01E-04,-0.001028207,-0.001152303,-9.94E-04,1.78E-04
2022-07-28,Site_6,-0.001848811,-0.002043761,-0.002545591,-0.002146054,3.59E-04
2022-07-28,Site_7,-0.002044728,-0.001739598,-0.001837278,-0.001873868,1.56E-04
2022-07-28,Site_8,-0.00102745,-8.88E-04,-0.001360496,-0.001091965,2.43E-04
2022-08-04,Site_1,-0.002109304,-0.001417073,-0.00159143,-0.001705935,3.60E-04
2022-08-04,Site_2,-4.38E-04,-4.16E-04,-3.80E-04,-4.11E-04,2.93E-05
2022-08-04,Site_3,8.48E-04,8.87E-04,4.48E-04,7.28E-04,2.43E-04
2022-08-04,Site_4,-5.37E-04,-4.16E-04,-6.48E-04,-5.34E-04,1.16E-04
2022-08-04,Site_5,-8.20E-04,-7.38E-04,-7.31E-04,-7.63E-04,4.95E-05
2022-08-04,Site_6,-0.002609741,-0.002736751,-0.002820524,-0.002722339,1.06E-04
2022-08-04,Site_7,-8.20E-04,-7.31E-04,-7.38E-04,-7.63E-04,4.95E-05
2022-08-04,Site_8,-6.30E-04,-9.64E-04,-0.001258113,-9.51E-04,3.14E-04
2022-08-18,Site_1,-0.002103137,-0.001511181,-0.001343737,-0.001652685,3.99E-04
2022-08-18,Site_2,-0.001649016,-0.001118726,-0.001077573,-0.001281772,3.19E-04
2022-08-18,Site_3,-0.001638794,-0.001840035,-0.001124704,-0.001534511,3.69E-04
2022-08-18,Site_4,-0.001197673,-8.12E-04,-0.001004415,-0.001004617,1.93E-04
2022-08-18,Site_5,-0.002633619,-0.001782161,-0.00141367,-0.00194315,6.26E-04
2022-08-18,Site_6,-0.002386457,-0.002526816,-0.00249679,-0.002470021,7.39E-05
2022-08-18,Site_7,-0.002591292,-0.002468754,-0.002286079,-0.002448708,1.54E-04
2022-08-18,Site_8,-0.002233025,-0.001612694,-0.001575097,-0.001806939,3.69E-04
2022-09-09,Site_1,-9.18E-04,-8.66E-04,-9.25E-04,-9.03E-04,3.22E-05
2022-09-09,Site_2,-0.001305468,-6.47E-04,-3.17E-04,-7.57E-04,5.03E-04
2022-09-09,Site_3,4.92E-04,-3.54E-04,-8.07E-04,-2.23E-04,6.59E-04
2022-09-09,Site_4,-0.00152431,-0.001796764,-0.001496571,-0.001605882,1.66E-04
2022-09-09,Site_5,-0.002034895,-0.001294276,-9.78E-04,-0.001435687,5.42E-04
2022-09-09,Site_6,-6.14E-04,-0.001120202,-0.001061441,-9.32E-04,2.77E-04
2022-09-09,Site_7,-0.001556995,-9.86E-04,-0.001136015,-0.001226447,2.96E-04
2022-09-09,Site_8,-0.001186329,-0.001135445,-0.001199491,-0.001173755,3.38E-05
2022-09-23,Site_1,2.01E-04,7.41E-05,3.80E-04,2.18E-04,1.54E-04
2022-09-23,Site_2,-1.99E-04,-1.25E-04,-4.78E-04,-2.68E-04,1.86E-04
2022-09-23,Site_3,-0.002804454,-0.002436311,-0.002887184,-0.002709316,2.40E-04
2022-09-23,Site_4,3.08E-04,8.68E-04,0.001271281,8.16E-04,4.84E-04
2022-09-23,Site_5,-5.95E-04,-5.56E-04,-6.36E-04,-5.96E-04,4.00E-05
2022-09-23,Site_6,-6.29E-04,-5.64E-04,-6.58E-04,-6.17E-04,4.81E-05
2022-09-23,Site_7,-5.81E-04,-7.66E-04,-7.56E-04,-7.01E-04,1.04E-04
2022-09-23,Site_8,-2.38E-04,-4.99E-05,-1.60E-04,-1.49E-04,9.45E-05
2022-10-19,Site_1,-8.26E-04,-5.62E-04,-5.79E-04,-6.56E-04,1.48E-04
2022-10-19,Site_2,-3.06E-04,-2.87E-04,-2.65E-04,-2.86E-04,2.05E-05
2022-10-19,Site_3,-3.67E-04,-5.32E-04,-5.24E-04,-4.74E-04,9.30E-05
2022-10-19,Site_4,-2.46E-04,2.20E-04,1.68E-04,4.73E-05,2.55E-04
2022-10-19,Site_5,-6.85E-04,-5.30E-04,-6.04E-04,-6.07E-04,7.75E-05
2022-10-19,Site_6,-3.26E-04,-4.71E-04,-4.43E-04,-4.14E-04,7.69E-05
2022-10-19,Site_7,-5.25E-04,-3.99E-04,-2.08E-04,-3.77E-04,1.60E-04
2022-10-19,Site_8,-2.90E-04,-3.25E-04,-2.42E-04,-2.86E-04,4.17E-05
2022-10-28,Site_1,-3.41E-04,-1.73E-04,-2.99E-04,-2.71E-04,8.74E-05
2022-10-28,Site_2,-3.50E-04,-3.14E-04,-3.17E-04,-3.27E-04,2.00E-05
2022-10-28,Site_3,-5.11E-05,1.45E-04,-2.89E-05,2.17E-05,1.07E-04
2022-10-28,Site_4,-2.83E-04,-2.75E-04,-3.63E-04,-3.07E-04,4.87E-05
2022-10-28,Site_5,-4.84E-04,-2.99E-04,-4.23E-04,-4.02E-04,9.43E-05
2022-10-28,Site_6,-0.001007682,-5.40E-04,-5.57E-04,-7.02E-04,2.65E-04
2022-10-28,Site_7,-7.61E-04,-4.09E-04,-6.65E-04,-6.12E-04,1.82E-04
2022-10-28,Site_8,-7.93E-04,-6.60E-04,-3.56E-04,-6.03E-04,2.24E-04
2023-03-28,Site_1,7.22E-04,9.06E-04,0.001285551,9.71E-04,2.87E-04
2023-03-28,Site_2,2.96E-04,3.02E-04,4.70E-04,3.56E-04,9.88E-05
2023-03-28,Site_3,3.98E-04,6.44E-04,5.06E-04,5.16E-04,1.23E-04
2023-03-28,Site_4,4.09E-04,2.96E-04,4.77E-04,3.94E-04,9.14E-05
2023-03-28,Site_5,3.56E-04,7.49E-04,4.12E-04,5.06E-04,2.13E-04
2023-03-28,Site_6,1.69E-04,1.17E-04,5.51E-04,2.79E-04,2.37E-04
2023-03-28,Site_7,5.86E-04,2.79E-04,0.000649,5.05E-04,1.98E-04
2023-03-28,Site_8,2.55E-04,4.64E-04,3.24E-04,3.47E-04,1.06E-04
2023-04-07,Site_1,5.32E-04,4.98E-04,6.10E-04,5.47E-04,5.74E-05
2023-04-07,Site_2,5.32E-04,4.98E-04,6.10E-04,5.47E-04,5.74E-05
2023-04-07,Site_3,3.19E-04,3.63E-04,4.21E-04,3.68E-04,5.12E-05
2023-04-07,Site_4,-2.23E-04,3.62E-04,4.76E-04,2.05E-04,3.75E-04
2023-04-07,Site_5,3.13E-04,4.97E-04,5.32E-04,4.47E-04,1.18E-04
2023-04-07,Site_6,0.001120572,6.80E-04,0.001280641,0.001027163,3.11E-04
2023-04-07,Site_7,0.000649,6.68E-04,0.001025107,7.81E-04,2.12E-04
2023-04-07,Site_8,-1.47E-04,-5.65E-04,-4.42E-04,-3.85E-04,2.15E-04
2023-05-04,Site_1,4.88E-04,3.41E-04,3.62E-04,3.97E-04,7.95E-05
2023-05-04,Site_2,-0.001207571,-9.97E-04,-6.48E-04,-9.51E-04,2.83E-04
2023-05-04,Site_3,-5.99E-04,-6.15E-04,-5.31E-04,-5.81E-04,4.46E-05
2023-05-04,Site_4,-0.00186678,-0.001619529,-0.001748962,-0.00174509,1.24E-04
2023-05-04,Site_5,2.81E-04,3.11E-04,3.30E-04,3.07E-04,2.47E-05
2023-05-04,Site_6,8.55E-04,3.67E-04,6.48E-04,6.23E-04,2.45E-04
2023-05-04,Site_7,4.02E-04,2.14E-04,4.10E-04,3.42E-04,1.11E-04
2023-05-04,Site_8,7.00E-05,2.99E-04,2.88E-04,2.19E-04,1.29E-04
2023-05-17,Site_1,0.001371382,0.001570905,0.002177053,0.001706446,4.20E-04
2023-05-17,Site_2,4.58E-04,3.94E-04,3.90E-04,4.14E-04,3.82E-05
2023-05-17,Site_3,4.24E-04,5.53E-04,6.28E-04,5.35E-04,1.03E-04
2023-05-17,Site_4,0.001401345,0.00104478,9.92E-04,0.001145988,2.23E-04
2023-05-17,Site_5,0.001289466,0.001204885,0.001585772,0.001360041,2.00E-04
2023-05-17,Site_6,7.72E-04,0.001094534,0.001235075,0.001033805,2.37E-04
2023-05-17,Site_7,4.08E-04,4.31E-04,7.47E-04,5.29E-04,1.89E-04
2023-05-17,Site_8,-0.001855206,-0.001581621,-7.75E-04,-0.001404013,5.62E-04