sampling_point,latitude,longitude,depth_ft
1,43.05089116,-89.43150356,
2,43.05152148,-89.43149774,
3,43.0521518,-89.43149192,
4,43.05278212,-89.4314861,
5,43.05341244,-89.43148027,
6,43.04868291,-89.43109421,
7,43.04994355,-89.43108256,
8,43.05057387,-89.43107674,
9,43.05120419,-89.43107091,3
10,43.05183451,-89.43106508,
11,43.05246483,-89.43105926,
12,43.05372546,-89.4310476,
13,43.04899593,-89.43066158,
14,43.04962625,-89.43065575,
15,43.05025657,-89.43064992,
16,43.05088689,-89.43064409,4
17,43.05151721,-89.43063826,4
18,43.05214753,-89.43063243,
19,43.05277785,-89.43062659,
20,43.05403849,-89.43061493,
21,43.04930895,-89.43022894,
22,43.04993927,-89.4302231,
23,43.05056959,-89.43021727,4
24,43.05119991,-89.43021143,4.5
25,43.05183023,-89.4302056,6
26,43.05246055,-89.43019976,4
27,43.05309087,-89.43019393,
28,43.05435151,-89.43018225,
29,43.04899165,-89.42980213,
30,43.04962197,-89.42979629,
31,43.05025229,-89.42979045,4
32,43.05088261,-89.42978461,6
33,43.05151293,-89.42977877,7
34,43.05214325,-89.42977293,7
35,43.05277357,-89.42976709,5.5
36,43.05340389,-89.42976125,
37,43.05466453,-89.42974957,
38,43.04930467,-89.42936948,2
39,43.04993499,-89.42936364,
40,43.05056531,-89.4293578,6
41,43.05119563,-89.42935195,7
42,43.05182595,-89.42934611,8
43,43.05245627,-89.42934026,8
44,43.05308659,-89.42933442,7
45,43.05371691,-89.42932858,
46,43.04835705,-89.42894853,
47,43.04898737,-89.42894268,
48,43.04961769,-89.42893683,4
49,43.05024801,-89.42893099,7
50,43.05087833,-89.42892514,8
51,43.05150864,-89.42891929,9
52,43.05213896,-89.42891344,9
53,43.05276928,-89.42890759,9
54,43.0533996,-89.42890174,8
55,43.05402992,-89.42889589,
56,43.04930038,-89.42851003,
57,43.0499307,-89.42850418,7
58,43.05056102,-89.42849833,8
59,43.05119134,-89.42849247,9
60,43.05182166,-89.42848662,10
61,43.05245198,-89.42848077,10
62,43.0530823,-89.42847492,10
63,43.05371262,-89.42846906,9
64,43.05434294,-89.42846321,
65,43.04898308,-89.42808323,
66,43.04961339,-89.42807738,6
67,43.05024371,-89.42807152,9
68,43.05087403,-89.42806566,10
69,43.05150435,-89.42805981,10
70,43.05213467,-89.42805395,10.5
71,43.05276499,-89.42804809,10
72,43.05339531,-89.42804223,10
73,43.05402563,-89.42803638,5.5
74,43.05465595,-89.42803052,
75,43.04929609,-89.42765058,
76,43.04992641,-89.42764472,8
77,43.05055673,-89.42763886,9
78,43.05118704,-89.427633,10
79,43.05181736,-89.42762713,11
80,43.05244768,-89.42762127,11
81,43.053078,-89.42761541,11
82,43.05370832,-89.42760955,9.5
83,43.05433864,-89.42760369,4
84,43.04897878,-89.42722378,
85,43.0496091,-89.42721792,5.5
86,43.05023942,-89.42721205,9
87,43.05086973,-89.42720619,11
88,43.05150005,-89.42720032,11
89,43.05213037,-89.42719446,11
90,43.05276069,-89.42718859,12
91,43.05339101,-89.42718272,11
92,43.05402133,-89.42717686,9
93,43.05465165,-89.42717099,2.5
94,43.04929179,-89.42679113,
95,43.0499221,-89.42678526,6.5
96,43.05055242,-89.42677939,10
97,43.05118274,-89.42677352,11
98,43.05181306,-89.42676765,11
99,43.05244338,-89.42676178,12
100,43.0530737,-89.42675591,11.5
101,43.05370402,-89.42675003,10.5
102,43.05433434,-89.42674416,8
103,43.04960479,-89.42635846,
104,43.05023511,-89.42635259,8
105,43.05086543,-89.42634671,11
106,43.05149575,-89.42634084,12
107,43.05212607,-89.42633497,12
108,43.05275639,-89.42632909,11.5
109,43.05338671,-89.42632322,11
110,43.05401702,-89.42631734,10
111,43.05464734,-89.42631146,7
112,43.0499178,-89.4259258,
113,43.05054812,-89.42591992,9
114,43.05117843,-89.42591404,11
115,43.05180875,-89.42590816,12
116,43.05243907,-89.42590228,11.5
117,43.05306939,-89.4258964,11.5
118,43.05369971,-89.42589052,11
119,43.05433003,-89.42588464,10
120,43.05496035,-89.42587876,3
121,43.04960048,-89.42549901,
122,43.0502308,-89.42549312,3
123,43.05086112,-89.42548724,10
124,43.05149144,-89.42548136,11.5
125,43.05212176,-89.42547547,11.5
126,43.05275208,-89.42546959,11.5
127,43.05338239,-89.42546371,11.5
128,43.05401271,-89.42545782,10.5
129,43.05464303,-89.42545194,8.5
130,43.04991348,-89.42506634,
131,43.0505438,-89.42506045,5
132,43.05117412,-89.42505456,11
133,43.05180444,-89.42504867,13
134,43.05243476,-89.42504278,12
135,43.05306508,-89.4250369,12
136,43.05369539,-89.42503101,11
137,43.05432571,-89.42502512,10
138,43.05495603,-89.42501923,4.5
139,43.04959616,-89.42463955,
140,43.05022648,-89.42463366,
141,43.0508568,-89.42462777,10
142,43.05148712,-89.42462188,12.5
143,43.05211744,-89.42461598,12
144,43.05274776,-89.42461009,12
145,43.05337808,-89.4246042,11.5
146,43.05400839,-89.4245983,11
147,43.05463871,-89.42459241,9.5
148,43.05526903,-89.42458652,2
149,43.05053948,-89.42420098,3
150,43.0511698,-89.42419508,10
151,43.05180012,-89.42418919,12.5
152,43.05243044,-89.42418329,12
153,43.05306075,-89.42417739,11.5
154,43.05369107,-89.42417149,11.5
155,43.05432139,-89.4241656,10.5
156,43.05495171,-89.4241597,6
157,43.05022216,-89.42377419,
158,43.05085248,-89.42376829,5
159,43.05148279,-89.42376239,12
160,43.05211311,-89.42375649,12
161,43.05274343,-89.42375059,12
162,43.05337375,-89.42374469,11.5
163,43.05400407,-89.42373879,11
164,43.05463439,-89.42373289,10
165,43.05526471,-89.42372698,2
166,43.05053515,-89.42334151,2
167,43.05116547,-89.4233356,10
168,43.05179579,-89.4233297,12
169,43.05242611,-89.42332379,12
170,43.05305643,-89.42331789,12
171,43.05368675,-89.42331198,11
172,43.05431706,-89.42330608,10.5
173,43.05494738,-89.42330017,9
174,43.05084815,-89.42290882,8
175,43.05147846,-89.42290291,11
176,43.05210878,-89.422897,12
177,43.0527391,-89.42289109,12
178,43.05336942,-89.42288518,12
179,43.05399974,-89.42287927,11
180,43.05463006,-89.42287336,10
181,43.05526037,-89.42286745,4.5
182,43.05053082,-89.42248204,
183,43.05116114,-89.42247613,9
184,43.05179146,-89.42247021,11
185,43.05242177,-89.4224643,12
186,43.05305209,-89.42245838,12
187,43.05368241,-89.42245247,11
188,43.05431273,-89.42244655,10.5
189,43.05494305,-89.42244064,9
190,43.05557337,-89.42243472,2
191,43.05084381,-89.42204935,6
192,43.05147413,-89.42204343,11
193,43.05210445,-89.42203751,11
194,43.05273476,-89.42203159,12
195,43.05336508,-89.42202567,11
196,43.0539954,-89.42201975,11
197,43.05462572,-89.42201383,10
198,43.05525604,-89.42200791,8
199,43.05052648,-89.42162257,5
200,43.0511568,-89.42161665,9
201,43.05178711,-89.42161073,11
202,43.05241743,-89.4216048,12
203,43.05304775,-89.42159888,11
204,43.05367807,-89.42159296,11
205,43.05430839,-89.42158703,11
206,43.05493871,-89.42158111,10
207,43.05556902,-89.42157518,7
208,43.05020915,-89.4211958,
209,43.05083946,-89.42118987,7
210,43.05146978,-89.42118395,10
211,43.0521001,-89.42117802,11
212,43.05273042,-89.42117209,11
213,43.05336074,-89.42116616,11
214,43.05399106,-89.42116024,11
215,43.05462137,-89.42115431,10
216,43.05525169,-89.42114838,9
217,43.05588201,-89.42114245,3
218,43.05052213,-89.4207631,3
219,43.05115245,-89.42075717,7
220,43.05178277,-89.42075124,10.5
221,43.05241309,-89.42074531,11
222,43.0530434,-89.42073938,11.5
223,43.05367372,-89.42073344,11
224,43.05430404,-89.42072751,11
225,43.05493436,-89.42072158,10
226,43.05556468,-89.42071565,8.5
227,43.05619499,-89.42070971,2
228,43.0502048,-89.42033634,
229,43.05083511,-89.4203304,7
230,43.05146543,-89.42032447,9.5
231,43.05209575,-89.42031853,11
232,43.05272607,-89.42031259,11
233,43.05335639,-89.42030666,11
234,43.05398671,-89.42030072,10.5
235,43.05461702,-89.42029478,10
236,43.05524734,-89.42028884,9
237,43.05587766,-89.42028291,8
238,43.05051778,-89.41990364,3
239,43.0511481,-89.4198977,8.5
240,43.05177841,-89.41989175,9
241,43.05240873,-89.41988581,10
242,43.05303905,-89.41987987,11
243,43.05366937,-89.41987393,11.5
244,43.05429969,-89.41986799,10
245,43.05493,-89.41986205,10
246,43.05556032,-89.41985611,9
247,43.05619064,-89.41985016,6
248,43.05020044,-89.41947687,9
249,43.05083076,-89.41947093,7.5
250,43.05146108,-89.41946498,9
251,43.05209139,-89.41945904,9.5
252,43.05272171,-89.41945309,11
253,43.05335203,-89.41944715,11
254,43.05398235,-89.4194412,10
255,43.05461267,-89.41943526,8
256,43.05524298,-89.41942931,9.5
257,43.0558733,-89.41942336,9
258,43.05650362,-89.41941742,4
259,43.0498831,-89.41905012,
260,43.05051342,-89.41904417,7
261,43.05114374,-89.41903822,9
262,43.05177405,-89.41903227,9
263,43.05240437,-89.41902632,9.5
264,43.05303469,-89.41902037,11
265,43.05366501,-89.41901442,10
266,43.05429533,-89.41900847,10
267,43.05492564,-89.41900252,9.5
268,43.05555596,-89.41899657,10
269,43.05618628,-89.41899062,8
270,43.0568166,-89.41898467,3
271,43.05019608,-89.41861741,8
272,43.05082639,-89.41861146,8
273,43.05145671,-89.4186055,9
274,43.05208703,-89.41859955,9
275,43.05271735,-89.4185936,9.5
276,43.05334767,-89.41858764,10
277,43.05397798,-89.41858169,11
278,43.0546083,-89.41857573,9.5
279,43.05523862,-89.41856978,10
280,43.05586894,-89.41856382,9
281,43.05649926,-89.41855787,7
282,43.05712957,-89.41855191,2
283,43.05050905,-89.4181847,10.5
284,43.05113937,-89.41817874,9
285,43.05176969,-89.41817278,9
286,43.05240001,-89.41816683,9.5
287,43.05303032,-89.41816087,9.5
288,43.05366064,-89.41815491,10
289,43.05429096,-89.41814895,9.5
290,43.05492128,-89.41814299,10
291,43.05555159,-89.41813703,10
292,43.05618191,-89.41813107,9
293,43.05681223,-89.41812511,5
294,43.05744255,-89.41811915,
295,43.05807286,-89.41811319,
296,43.05019171,-89.41775795,7
297,43.05082203,-89.41775199,8
298,43.05145234,-89.41774602,8.5
299,43.05208266,-89.41774006,9
300,43.05271298,-89.4177341,9.5
301,43.0533433,-89.41772813,9
302,43.05397361,-89.41772217,9.5
303,43.05460393,-89.41771621,10
304,43.05523425,-89.41771024,11
305,43.05586457,-89.41770428,10
306,43.05649489,-89.41769832,8
307,43.0571252,-89.41769235,4
308,43.05775552,-89.41768639,
309,43.05838584,-89.41768042,
310,43.05901615,-89.41767446,
311,43.05050468,-89.41732523,12
312,43.051135,-89.41731927,8.5
313,43.05176531,-89.4173133,8.5
314,43.05239563,-89.41730733,9
315,43.05302595,-89.41730136,9
316,43.05365627,-89.4172954,9
317,43.05428659,-89.41728943,10
318,43.0549169,-89.41728346,11
319,43.05554722,-89.41727749,11
320,43.05617754,-89.41727152,9.5
321,43.05680786,-89.41726556,7
322,43.05743817,-89.41725959,3.5
323,43.05806849,-89.41725362,
324,43.05018733,-89.41689848,
325,43.05081765,-89.41689251,8.5
326,43.05144797,-89.41688654,9
327,43.05207828,-89.41688057,9
328,43.0527086,-89.4168746,9
329,43.05333892,-89.41686863,10
330,43.05396924,-89.41686265,9
331,43.05459956,-89.41685668,11
332,43.05522987,-89.41685071,11
333,43.05586019,-89.41684474,10
334,43.05649051,-89.41683876,9
335,43.05712083,-89.41683279,7
336,43.05775114,-89.41682682,
337,43.05901178,-89.41681487,
338,43.0505003,-89.41646577,9
339,43.05113062,-89.41645979,8
340,43.05176094,-89.41645381,9
341,43.05239125,-89.41644784,9
342,43.05302157,-89.41644186,9.5
343,43.05365189,-89.41643588,9
344,43.05428221,-89.41642991,9.5
345,43.05491252,-89.41642393,10.5
346,43.05554284,-89.41641795,11
347,43.05617316,-89.41641198,10
348,43.05680348,-89.416406,9
349,43.05743379,-89.41640002,6
350,43.05806411,-89.41639404,
351,43.05081327,-89.41603304,14
352,43.05144358,-89.41602706,8.5
353,43.0520739,-89.41602108,8.5
354,43.05270422,-89.4160151,9
355,43.05333454,-89.41600912,9
356,43.05396486,-89.41600314,9
357,43.05459517,-89.41599716,10
358,43.05522549,-89.41599118,11
359,43.05585581,-89.41598519,11
360,43.05648613,-89.41597921,10
361,43.05711644,-89.41597323,8
362,43.05774676,-89.41596725,4
363,43.05900739,-89.41595528,
364,43.05049591,-89.4156063,1
365,43.05112623,-89.41560031,9
366,43.05175655,-89.41559433,8.5
367,43.05238687,-89.41558834,9
368,43.05301719,-89.41558236,9
369,43.0536475,-89.41557637,9
370,43.05427782,-89.41557039,9
371,43.05490814,-89.4155644,10.5
372,43.05553845,-89.41555842,11
373,43.05616877,-89.41555243,10
374,43.05679909,-89.41554644,9
375,43.05742941,-89.41554046,6
376,43.05080888,-89.41517357,13.5
377,43.0514392,-89.41516758,9
378,43.05206951,-89.41516159,8.5
379,43.05269983,-89.4151556,10
380,43.05333015,-89.41514961,8.5
381,43.05396047,-89.41514362,9
382,43.05459078,-89.41513763,10
383,43.0552211,-89.41513164,11
384,43.05585142,-89.41512565,11
385,43.05648174,-89.41511966,9
386,43.05711205,-89.41511367,8
387,43.05774237,-89.41510768,4
388,43.059003,-89.4150957,
389,43.05049152,-89.41474683,2
390,43.05112184,-89.41474084,5
391,43.05175216,-89.41473484,8
392,43.05238248,-89.41472885,8
393,43.05301279,-89.41472286,9
394,43.05364311,-89.41471686,9
395,43.05427343,-89.41471087,9
396,43.05490374,-89.41470487,10.5
397,43.05553406,-89.41469888,11
398,43.05616438,-89.41469288,10
399,43.0567947,-89.41468689,8.5
400,43.05742501,-89.41468089,5.5
401,43.05080448,-89.4143141,4
402,43.0514348,-89.4143081,7
403,43.05206512,-89.4143021,8
404,43.05269544,-89.41429611,8
405,43.05332575,-89.41429011,8.5
406,43.05395607,-89.41428411,9
407,43.05458639,-89.41427811,10
408,43.0552167,-89.41427211,11
409,43.05584702,-89.41426611,11
410,43.05647734,-89.41426011,10
411,43.05710766,-89.41425411,7
412,43.05773797,-89.41424811,4
413,43.05962892,-89.41423011,
414,43.05048712,-89.41388736,1
415,43.05111744,-89.41388136,4
416,43.05174776,-89.41387536,7
417,43.05237808,-89.41386936,8
418,43.05300839,-89.41386335,8
419,43.05363871,-89.41385735,8.5
420,43.05426903,-89.41385135,9
421,43.05489935,-89.41384535,11
422,43.05552966,-89.41383934,11
423,43.05615998,-89.41383334,10
424,43.0567903,-89.41382733,7.5
425,43.05742061,-89.41382133,7
426,43.05080008,-89.41345463,3
427,43.0514304,-89.41344862,5
428,43.05206072,-89.41344261,8
429,43.05269103,-89.41343661,9
430,43.05332135,-89.4134306,8
431,43.05395167,-89.41342459,9
432,43.05458199,-89.41341859,10
433,43.0552123,-89.41341258,11
434,43.05584262,-89.41340657,10.5
435,43.05647294,-89.41340056,8.5
436,43.05710325,-89.41339455,6.5
437,43.05773357,-89.41338854,4
438,43.0589942,-89.41337653,
439,43.05048272,-89.4130279,
440,43.05111304,-89.41302189,4
441,43.05174335,-89.41301588,7
442,43.05237367,-89.41300986,8
443,43.05300399,-89.41300385,9
444,43.05363431,-89.41299784,9
445,43.05426462,-89.41299183,9
446,43.05489494,-89.41298582,10
447,43.05552526,-89.41297981,10.5
448,43.05615557,-89.41297379,9.5
449,43.05678589,-89.41296778,7
450,43.05741621,-89.41296177,6
451,43.05079567,-89.41259516,
452,43.05142599,-89.41258914,4.5
453,43.05205631,-89.41258313,7.5
454,43.05268662,-89.41257711,8
455,43.05331694,-89.41257109,8
456,43.05394726,-89.41256508,9
457,43.05457758,-89.41255906,9
458,43.05520789,-89.41255305,9.5
459,43.05583821,-89.41254703,9
460,43.05646853,-89.41254101,8
461,43.05709884,-89.41253499,6
462,43.05772916,-89.41252898,5
463,43.05898979,-89.41251694,
464,43.05047831,-89.41216843,
465,43.05110862,-89.41216241,4
466,43.05173894,-89.41215639,6
467,43.05236926,-89.41215037,7
468,43.05299958,-89.41214435,8
469,43.05362989,-89.41213833,8
470,43.05426021,-89.41213231,8
471,43.05489053,-89.41212629,8
472,43.05552084,-89.41212027,9
473,43.05615116,-89.41211425,8.5
474,43.05678148,-89.41210823,6
475,43.0574118,-89.4121022,5
476,43.05079126,-89.41173569,
477,43.05142157,-89.41172966,4
478,43.05205189,-89.41172364,6
479,43.05268221,-89.41171761,7
480,43.05331253,-89.41171159,7
481,43.05394284,-89.41170556,7
482,43.05457316,-89.41169954,7
483,43.05520348,-89.41169351,7.5
484,43.05583379,-89.41168749,8
485,43.05646411,-89.41168146,7
486,43.05709443,-89.41167544,6.5
487,43.05772475,-89.41166941,
488,43.05047389,-89.41130897,
489,43.05110421,-89.41130294,
490,43.05173452,-89.41129691,4.5
491,43.05236484,-89.41129088,5
492,43.05299516,-89.41128485,6
493,43.05362548,-89.41127882,6
494,43.05425579,-89.41127279,5
495,43.05488611,-89.41126676,6
496,43.05551643,-89.41126073,7
497,43.05614674,-89.4112547,7
498,43.05677706,-89.41124867,7
499,43.05740738,-89.41124264,5
500,43.05078684,-89.41087622,
501,43.05141715,-89.41087018,
502,43.05204747,-89.41086415,4
503,43.05267779,-89.41085812,5
504,43.05330811,-89.41085208,5
505,43.05393842,-89.41084605,5
506,43.05456874,-89.41084001,5
507,43.05519906,-89.41083398,5.5
508,43.05582937,-89.41082795,6
509,43.05645969,-89.41082191,6
510,43.05709001,-89.41081588,6
511,43.0517301,-89.41043742,
512,43.05236042,-89.41043139,
513,43.05299073,-89.41042535,4
514,43.05362105,-89.41041931,5
515,43.05425137,-89.41041327,4
516,43.05488168,-89.41040723,5
517,43.055512,-89.4104012,5
518,43.05614232,-89.41039516,5
519,43.05677263,-89.41038912,8
520,43.05740295,-89.41038308,4
521,43.05204304,-89.41000466,
522,43.05267336,-89.40999862,
523,43.05330368,-89.40999258,3
524,43.05393399,-89.40998653,3
525,43.05456431,-89.40998049,4
526,43.05519463,-89.40997445,4
527,43.05582494,-89.40996841,4
528,43.05645526,-89.40996236,5
529,43.05708558,-89.40995632,6
530,43.05550757,-89.40954166,3
531,43.05613789,-89.40953561,4
532,43.0567682,-89.40952956,4
533,43.05739852,-89.40952352,7
534,43.05582051,-89.40910887,2
535,43.05645083,-89.40910281,3
536,43.05708114,-89.40909676,4
537,43.05771146,-89.40909071,5
538,43.05739408,-89.40866395,3
539,43.05770702,-89.40823114,2
540,43.05801995,-89.40779833,
541,43.05770257,-89.40737157,11
542,43.05738518,-89.40694483,
543,43.05769811,-89.40651201,